127.0.0.1 - - [08/Nov/2021:10:10:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:42 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:42 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:45 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:49 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:50 +0900] "GET /Surf/surf/surfSpot.su?spot=%EC%9E%84%EB%9E%91%ED%95%B4%EB%B3%80 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:55:50 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:57:08 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:57:08 +0900] "GET /Surf/img/surf_person.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:57:10 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:57:43 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:57:43 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:58:07 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4425
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:58:07 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:58:32 +0900] "GET /Surf/board/reviewWrite.su?star_rating=5&content=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B0%80+%EC%A2%8B%EC%95%84%EC%9A%94&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4639
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:58:32 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:58:32 +0900] "GET /Surf/img/star5.png HTTP/1.1" 200 34821
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:59:50 +0900] "GET /Surf/board/reviewWrite.su?star_rating=5&content=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B0%80+%EC%A2%8B%EC%95%84%EC%9A%94&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4860
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:59:50 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:12:59:53 +0900] "GET /Surf/board/reviewWrite.su?star_rating=5&content=%EC%84%9C%EB%B9%84%EC%8A%A4%EA%B0%80+%EC%A2%8B%EC%95%84%EC%9A%94&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:32 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 5074
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:32 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:35 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:35 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:45 +0900] "GET /Surf/list.brd HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:47 +0900] "GET /Surf/board/view.brd?seq=5&pg=1 HTTP/1.1" 200 3057
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:54 +0900] "GET /Surf/board/commentWrite.brd?content=%EB%8C%93%EA%B8%80&board_no=5 HTTP/1.1" 200 3246
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:01:56 +0900] "GET /Surf/board/commentWrite.brd?content=%EB%8C%93%EA%B8%80&board_no=5 HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:03:18 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:03:20 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:03:51 +0900] "GET /Surf/surf/list.brd HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:04:18 +0900] "GET /Surf/board/view.brd?seq=5&pg=1 HTTP/1.1" 200 3474
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:04:26 +0900] "GET /Surf/board/commentWrite.brd?content=%EB%8C%93%EA%B8%80&board_no=5 HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:28 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:28 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:33 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:35 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:37 +0900] "GET /Surf/surf/surfSpot.su?spot=%EC%9E%84%EB%9E%91%ED%95%B4%EB%B3%80 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:38 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4646
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:05:38 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:06:26 +0900] "GET /Surf/board/reviewWrite.su?star_rating=2&content=%EC%9B%BB%EC%8A%88%ED%8A%B8+%EB%A7%9E%EB%8A%94+%EC%82%AC%EC%9D%B4%EC%A6%88%EA%B0%80+%EC%97%86%EC%96%B4%EC%9A%94&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4877
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:06:26 +0900] "GET /Surf/img/star2.png HTTP/1.1" 200 32686
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:06:59 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:06:59 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:07:04 +0900] "GET /Surf/surf/surfArea.su?area=2 HTTP/1.1" 200 2635
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:30:28 +0900] "GET /Surf/login/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:30:28 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:30:29 +0900] "GET /Surf/login/loginForm.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:30:29 +0900] "GET /Surf/login/loginForm.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:30:40 +0900] "GET /Surf/login/login.me?id=qqq&pwd=qqqq HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:31:18 +0900] "GET /Surf/login/login.me?id=qqq&pwd=qqqq HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:31:31 +0900] "GET /Surf/login/login.me?id=test01&pwd=test01123 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:31:33 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:31:33 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:32:11 +0900] "GET /Surf/login/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:32:11 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:32:12 +0900] "GET /Surf/login/loginForm.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:32:12 +0900] "GET /Surf/login/loginForm.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:32:19 +0900] "GET /Surf/login/login.me?id=qwrqwfasf&pwd=qwesad HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:32:30 +0900] "GET /Surf/login/login.me?id=test01&pwd=test01111 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:15 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:17 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:21 +0900] "GET /Surf/login/loginForm.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:21 +0900] "GET /Surf/login/loginForm.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:28 +0900] "GET /Surf/login/login.me?id=test01&pwd=test01123 HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:29 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:29 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:32 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:34 +0900] "GET /Surf/surf/surfLocation.su?location=%EB%B6%80%EC%82%B0 HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:34 +0900] "GET /Surf/surf/surfSpot.su?spot=%EC%9E%84%EB%9E%91%ED%95%B4%EB%B3%80 HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:35 +0900] "GET /Surf/surf/surfShop.su?info=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 4877
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:33:35 +0900] "GET /Surf/css/shopInfo.css?ver=3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:03 +0900] "GET /Surf/board/reviewWrite.su?star_rating=4&content=%EA%B0%80%EB%82%98%EB%8B%A4&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 5078
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:04 +0900] "GET /Surf/img/star4.png HTTP/1.1" 200 34757
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:14 +0900] "GET /Surf/board/reviewWrite.su?star_rating=4&content=%EA%B0%80%EB%82%98%EB%8B%A4&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 5279
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:15 +0900] "GET /Surf/board/reviewWrite.su?star_rating=4&content=%EA%B0%80%EB%82%98%EB%8B%A4&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 5480
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:16 +0900] "GET /Surf/board/reviewWrite.su?star_rating=4&content=%EA%B0%80%EB%82%98%EB%8B%A4&shop_name=%EC%98%A4%ED%88%AC%EC%84%9C%ED%95%91 HTTP/1.1" 200 5681
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:52 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:34:52 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:01 +0900] "GET /Surf/list.brd HTTP/1.1" 200 2950
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:05 +0900] "GET /Surf/board/view.brd?seq=5&pg=1 HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:13 +0900] "GET /Surf/board/modifyForm.brd?pg=1&seq=5 HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:19 +0900] "GET /Surf/board/write.brd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:19 +0900] "GET /Surf/board/write.jsp HTTP/1.1" 200 2410
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:30 +0900] "GET /Surf/board/view.brd?seq=5&pg=1 HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:31 +0900] "GET /Surf/board/modifyForm.brd?pg=1&seq=5 HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:39 +0900] "POST /Surf/board/modify.brd HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:42 +0900] "GET /Surf/board/view.brd?seq=5 HTTP/1.1" 200 3702
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:52 +0900] "GET /Surf/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:35:52 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2488
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:36:21 +0900] "GET /Surf/surf/surfArea.su?area=1 HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:51:04 +0900] "GET /Surf/login/logout.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:51:04 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:51:05 +0900] "GET /Surf/login/loginForm.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:51:05 +0900] "GET /Surf/login/loginForm.jsp HTTP/1.1" 200 1253
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:51:09 +0900] "GET /Surf/login/login.me?id=132313123&pwd=123123 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:52:06 +0900] "GET /Surf/member/index.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Nov/2021:13:52:06 +0900] "GET /Surf/index.jsp HTTP/1.1" 200 2502
